customer_id,customer_name,customer_location
1,"Emma Clark","New York"
2,"Emily Johnson","San Francisco"
3,"John Doe",Denver
4,"Olivia Wilson",Dallas
5,"John Doe",Dallas
6,"Emma Clark",Houston
7,"Sophia Miller",Miami
8,"Sophia Miller",Boston
9,"David Lee",Boston
10,"Michael Brown",Dallas
11,"Daniel Harris","San Francisco"
12,"Michael Brown",Miami
13,"John Doe",Seattle
14,"John Doe",Boston
15,"Michael Brown","Los Angeles"
16,"Olivia Wilson",Houston
17,"Olivia Wilson",Seattle
18,"Chris White",Miami
19,"Chris White",Dallas
20,"Sophia Miller",Seattle
21,"Olivia Wilson",Boston
22,"Daniel Harris","New York"
23,"Jane Smith",Chicago
24,"Sophia Miller",Denver
25,"Emily Johnson",Dallas
26,"John Doe",Houston
27,"Michael Brown",Seattle
28,"Olivia Wilson","New York"
29,"Jane Smith","New York"
30,"Emma Clark",Denver
31,"Michael Brown","New York"
32,"Olivia Wilson",Chicago
33,"Olivia Wilson","San Francisco"
34,"Emily Johnson",Seattle
35,"Jane Smith",Miami
36,"Jane Smith",Denver
37,"Chris White",Houston
38,"David Lee",Houston
39,"Emma Clark",Chicago
40,"John Doe","San Francisco"
41,"Emily Johnson","Los Angeles"
42,"Sophia Miller",Dallas
43,"Emma Clark",Dallas
44,"Jane Smith","Los Angeles"
45,"Daniel Harris",Dallas
46,"Jane Smith",Dallas
47,"Emma Clark",Miami
48,"Emily Johnson",Denver
49,"Emma Clark","San Francisco"
50,"Michael Brown",Denver
51,"Chris White","New York"
52,"Emily Johnson",Boston
53,"Daniel Harris",Houston
54,"Emily Johnson",Miami
55,"Daniel Harris",Boston
56,"Emma Clark","Los Angeles"
57,"Sophia Miller","San Francisco"
58,"Michael Brown",Chicago
59,"Jane Smith",Seattle
60,"Michael Brown",Houston
61,"Chris White",Seattle
62,"Emily Johnson",Houston
63,"David Lee",Denver
64,"Daniel Harris",Seattle
65,"Jane Smith",Houston
66,"Jane Smith",Boston
67,"Daniel Harris",Miami
68,"David Lee",Dallas
69,"David Lee","San Francisco"
70,"Olivia Wilson",Miami
71,"Chris White",Chicago
72,"John Doe",Miami
73,"Chris White",Boston
74,"Emma Clark",Seattle
75,"Emily Johnson","New York"
76,"Daniel Harris",Chicago
77,"David Lee",Chicago
78,"John Doe","Los Angeles"
79,"Emma Clark",Boston
80,"Olivia Wilson",Denver
81,"Michael Brown",Boston
82,"David Lee","New York"
83,"David Lee",Miami
84,"Emily Johnson",Chicago
85,"David Lee","Los Angeles"
86,"John Doe","New York"
87,"Sophia Miller",Houston
88,"Chris White","Los Angeles"
89,"Michael Brown","San Francisco"
90,"Sophia Miller","New York"
91,"Jane Smith","San Francisco"
92,"Chris White",Denver
93,"Emma Clark","New York"
94,"Emily Johnson","San Francisco"
95,"John Doe",Denver
96,"Olivia Wilson",Dallas
97,"John Doe",Dallas
98,"Emma Clark",Houston
99,"Sophia Miller",Miami
100,"Sophia Miller",Boston
101,"David Lee",Boston
102,"Michael Brown",Dallas
103,"Daniel Harris","San Francisco"
104,"Michael Brown",Miami
105,"John Doe",Seattle
106,"John Doe",Boston
107,"Michael Brown","Los Angeles"
108,"Olivia Wilson",Houston
109,"Olivia Wilson",Seattle
110,"Chris White",Miami
111,"Chris White",Dallas
112,"Sophia Miller",Seattle
113,"Olivia Wilson",Boston
114,"Daniel Harris","New York"
115,"Jane Smith",Chicago
116,"Sophia Miller",Denver
117,"Emily Johnson",Dallas
118,"John Doe",Houston
119,"Michael Brown",Seattle
120,"Olivia Wilson","New York"
121,"Jane Smith","New York"
122,"Emma Clark",Denver
